BEAT                                                           STATUS
----------------------------------------------------------------------
policy is a versioned dependency (coexistence)                 PASS
a version not in the array cannot run (orphan-guard)           PASS
retiring a version prunes it                                   PASS
shift-left CI catches an Audit->Deny flip pre-merge            PASS
exemptions dissolve into conditional policy                    PASS
no ledger entry, no exception                                  PASS
PROPORTIONALITY: same control, Audit driftwood vs Deny ludlow  PASS
enforcement tuned by the £, not a timer                       PASS
graded response: caged by degree, not denied                   PASS
the board line is TCoR and it moves                            PASS
feeds signed+versioned, a bump moves the £                    PASS
ico penalty schema signed; a bump moves the £                 PASS
nist ships a real, pinnable OSCAL catalog                      PASS
evidence up-flow resolves end to end (OSCAL risk)              PASS
LIVING LOOP: war-gamer opens a signed PR, never merges         PASS
AI-Wardley flags commoditisation movement, re-tunes early      PASS
the number is honest today (calibration+integrity)             PASS
identity substrate: SPIRE is Istio's CA, mTLS STRICT           PASS
posture-as-identity: posture/vN in the SVID path               PASS
currency controller re-evaluates posture post-admission        PASS
